value_band,purchase_orders,spend,po_share,spend_share
<=1K,3594,1667211.19,0.08437411963564653,6.947631862910151e-05
1K-5K,3216,8142830.69,0.07550004695276552,0.00033932947604632294
5K-10K,1840,13577865.7,0.04319654427645788,0.0005658192131474048
10K-25K,3423,53670718.64,0.08035965818386703,0.002236575648994713
25K-50K,3379,123278455.91,0.07932669734247347,0.005137281547940428
50K-100K,3182,227951058.74,0.07470184993896141,0.009499216706229807
>100K,23962,23568538733.34,0.5625410836698281,0.9821523010890123
